Plik, Iteracja, Najlepsza odleglosc, Blad wzgledny (%), Czas znalezienia najlepszego rozwiazania (ms), Czas wykonania (ms), Najlepsza sciezka
ftv47.atsp, 1, 5089, 186,54, 163, 1011, -
ftv47.atsp, 2, 5146, 189,75, 172, 1000, -
ftv47.atsp, 3, 5213, 193,52, 279, 1001, -
ftv47.atsp, 4, 5194, 192,45, 209, 1001, -
ftv47.atsp, 5, 5171, 191,16, 41, 1000, -
ftv47.atsp, 6, 5159, 190,48, 734, 1000, -
ftv47.atsp, 7, 5145, 189,70, 913, 1002, -
ftv47.atsp, 8, 5144, 189,64, 504, 1000, -
ftv47.atsp, 9, 5117, 188,12, 905, 1000, -
ftv47.atsp, 10, 4978, 180,29, 534, 1000, -
ftv47.atsp, -1, 4978, -1,00, 445, 1001, [12, 16, 32, 35, 0, 22, 10, 4, 28, 40, 1, 43, 13, 34, 7, 30, 24, 3, 6, 29, 45, 19, 44, 39, 42, 8, 18, 47, 37, 38, 9, 33, 2, 17, 23, 27, 11, 46, 36, 14, 21, 20, 25, 15, 26, 41, 31, 5]
ftv47.atsp, -, -, 189,17, 445,40, 1001,50, -
